,five_stars,four_stars,three_stars,two_stars,one_star,zero_star
1492,"['museums', 'malls', 'restaurants', 'hotels-lodgings', 'juice-bars', 'art-galleries']",[],"['parks', 'theatres']","['resorts', 'beaches']","['churches', 'zoo', 'pubs-bars', 'burger-pizza', 'dance-clubs', 'swimming-pools', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'view-points', 'monuments', 'gardens']",[]
1493,"['museums', 'malls', 'zoo', 'restaurants', 'hotels-lodgings', 'juice-bars', 'art-galleries']",[],['theatres'],"['beaches', 'parks']","['churches', 'resorts', 'pubs-bars', 'burger-pizza', 'dance-clubs', 'swimming-pools', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'view-points', 'monuments', 'gardens']",[]
1494,"['museums', 'malls', 'restaurants', 'hotels-lodgings', 'juice-bars', 'art-galleries']",[],['theatres'],"['beaches', 'parks']","['churches', 'resorts', 'zoo', 'pubs-bars', 'burger-pizza', 'dance-clubs', 'swimming-pools', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'view-points', 'monuments', 'gardens']",[]
1495,"['museums', 'malls', 'zoo', 'restaurants', 'hotels-lodgings', 'juice-bars']",[],['theatres'],"['beaches', 'parks']","['churches', 'resorts', 'pubs-bars', 'burger-pizza', 'art-galleries', 'dance-clubs', 'swimming-pools', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'view-points', 'monuments', 'gardens']",[]
1496,"['museums', 'malls', 'zoo', 'restaurants', 'hotels-lodgings', 'juice-bars']",[],['theatres'],"['resorts', 'beaches', 'parks']","['churches', 'pubs-bars', 'burger-pizza', 'art-galleries', 'dance-clubs', 'swimming-pools', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'view-points', 'monuments', 'gardens']",[]
1497,"['museums', 'malls', 'restaurants', 'hotels-lodgings', 'juice-bars']",[],['theatres'],"['beaches', 'parks']","['churches', 'resorts', 'zoo', 'pubs-bars', 'burger-pizza', 'art-galleries', 'dance-clubs', 'swimming-pools', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'view-points', 'monuments', 'gardens']",[]
1498,"['museums', 'malls', 'zoo', 'restaurants', 'hotels-lodgings', 'juice-bars']",[],"['parks', 'theatres']","['resorts', 'beaches']","['churches', 'pubs-bars', 'burger-pizza', 'art-galleries', 'dance-clubs', 'swimming-pools', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'view-points', 'monuments', 'gardens']",[]
1499,"['malls', 'zoo', 'restaurants', 'hotels-lodgings', 'juice-bars']",[],"['beaches', 'parks', 'theatres', 'museums']",['resorts'],"['churches', 'pubs-bars', 'burger-pizza', 'art-galleries', 'dance-clubs', 'swimming-pools', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'view-points', 'monuments', 'gardens']",[]
1500,"['malls', 'restaurants', 'hotels-lodgings', 'juice-bars']",[],"['resorts', 'beaches', 'parks', 'theatres', 'museums']",[],"['churches', 'zoo', 'pubs-bars', 'burger-pizza', 'art-galleries', 'dance-clubs', 'swimming-pools', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'view-points', 'monuments', 'gardens']",[]
1501,"['museums', 'malls', 'restaurants', 'hotels-lodgings', 'juice-bars']",[],"['resorts', 'beaches', 'parks', 'theatres']",[],"['churches', 'zoo', 'pubs-bars', 'burger-pizza', 'art-galleries', 'dance-clubs', 'swimming-pools', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'view-points', 'monuments', 'gardens']",[]
1502,"['museums', 'malls', 'zoo', 'pubs-bars', 'hotels-lodgings', 'juice-bars', 'art-galleries']",[],"['beaches', 'theatres']",[],"['churches', 'resorts', 'parks', 'restaurants', 'burger-pizza', 'dance-clubs', 'swimming-pools', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'view-points', 'monuments', 'gardens']",[]
1503,"['malls', 'zoo', 'restaurants', 'pubs-bars', 'hotels-lodgings', 'juice-bars', 'art-galleries']",[],"['beaches', 'parks', 'theatres', 'museums']",[],"['churches', 'resorts', 'burger-pizza', 'dance-clubs', 'swimming-pools', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'view-points', 'monuments', 'gardens']",[]
1504,"['malls', 'zoo', 'restaurants', 'pubs-bars', 'hotels-lodgings', 'juice-bars', 'art-galleries']",[],"['parks', 'theatres', 'museums']",[],"['churches', 'resorts', 'beaches', 'burger-pizza', 'dance-clubs', 'swimming-pools', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'view-points', 'monuments', 'gardens']",[]
1505,"['malls', 'zoo', 'restaurants', 'pubs-bars', 'juice-bars', 'art-galleries']",[],"['parks', 'theatres', 'museums']",[],"['churches', 'resorts', 'beaches', 'burger-pizza', 'hotels-lodgings', 'dance-clubs', 'swimming-pools', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'view-points', 'monuments', 'gardens']",[]
1506,"['malls', 'zoo', 'restaurants', 'pubs-bars', 'juice-bars', 'art-galleries']",[],"['parks', 'theatres', 'museums']",[],"['churches', 'resorts', 'beaches', 'burger-pizza', 'hotels-lodgings', 'dance-clubs', 'swimming-pools', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'view-points', 'monuments', 'gardens']",[]
1507,"['malls', 'zoo', 'restaurants', 'pubs-bars', 'art-galleries']",[],"['parks', 'theatres', 'museums']",[],"['churches', 'resorts', 'beaches', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'dance-clubs', 'swimming-pools', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'view-points', 'monuments', 'gardens']",[]
1508,"['malls', 'zoo', 'restaurants', 'pubs-bars', 'art-galleries']",[],"['parks', 'theatres', 'museums']",['resorts'],"['churches', 'beaches', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'dance-clubs', 'swimming-pools', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'view-points', 'monuments', 'gardens']",[]
1509,"['malls', 'zoo', 'restaurants', 'pubs-bars']",[],"['parks', 'theatres', 'museums']",['resorts'],"['churches', 'beaches', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries', 'dance-clubs', 'swimming-pools', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'view-points', 'monuments', 'gardens']",[]
1510,"['resorts', 'malls', 'zoo', 'restaurants', 'pubs-bars']",[],"['parks', 'theatres', 'museums']",['cafes'],"['churches', 'beaches', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries', 'dance-clubs', 'swimming-pools', 'gyms', 'bakeries', 'beauty-spas', 'view-points', 'monuments', 'gardens']",[]
1511,"['resorts', 'malls', 'zoo', 'restaurants', 'pubs-bars', 'juice-bars']",[],"['parks', 'theatres', 'museums']","['beauty-spas', 'cafes']","['churches', 'beaches', 'burger-pizza', 'hotels-lodgings', 'art-galleries', 'dance-clubs', 'swimming-pools', 'gyms', 'bakeries', 'view-points', 'monuments', 'gardens']",[]
1512,"['malls', 'zoo', 'restaurants', 'pubs-bars', 'art-galleries']",[],"['parks', 'theatres', 'museums', 'juice-bars']","['beauty-spas', 'cafes']","['churches', 'resorts', 'beaches', 'burger-pizza', 'hotels-lodgings', 'dance-clubs', 'swimming-pools', 'gyms', 'bakeries', 'view-points', 'monuments', 'gardens']",[]
1513,"['malls', 'zoo', 'restaurants', 'pubs-bars', 'juice-bars', 'beauty-spas']",[],"['parks', 'theatres', 'museums']",['cafes'],"['churches', 'resorts', 'beaches', 'burger-pizza', 'hotels-lodgings', 'art-galleries', 'dance-clubs', 'swimming-pools', 'gyms', 'bakeries', 'view-points', 'monuments', 'gardens']",[]
1514,"['malls', 'zoo', 'restaurants', 'pubs-bars', 'juice-bars']",[],"['parks', 'theatres', 'museums']",['cafes'],"['churches', 'resorts', 'beaches', 'burger-pizza', 'hotels-lodgings', 'art-galleries', 'dance-clubs', 'swimming-pools', 'gyms', 'bakeries', 'beauty-spas', 'view-points', 'monuments', 'gardens']",[]
1515,"['malls', 'zoo', 'restaurants', 'pubs-bars', 'juice-bars', 'art-galleries']",[],"['parks', 'theatres', 'museums']",[],"['churches', 'resorts', 'beaches', 'burger-pizza', 'hotels-lodgings', 'dance-clubs', 'swimming-pools', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'view-points', 'monuments', 'gardens']",[]
1516,"['malls', 'zoo', 'restaurants', 'pubs-bars', 'juice-bars', 'art-galleries']",[],"['parks', 'theatres', 'museums']",[],"['churches', 'resorts', 'beaches', 'burger-pizza', 'hotels-lodgings', 'dance-clubs', 'swimming-pools', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'view-points', 'monuments', 'gardens']",[]
1517,"['malls', 'zoo', 'restaurants', 'pubs-bars', 'art-galleries']",[],"['parks', 'theatres', 'museums']",[],"['churches', 'resorts', 'beaches', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'dance-clubs', 'swimming-pools', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'view-points', 'monuments', 'gardens']",[]
1518,"['malls', 'zoo', 'restaurants', 'pubs-bars', 'art-galleries']",[],"['parks', 'theatres', 'museums']",['beauty-spas'],"['churches', 'resorts', 'beaches', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'dance-clubs', 'swimming-pools', 'gyms', 'bakeries', 'cafes', 'view-points', 'monuments', 'gardens']",[]
1519,"['malls', 'zoo', 'restaurants', 'pubs-bars', 'art-galleries']",[],"['parks', 'theatres', 'museums', 'beauty-spas']",[],"['churches', 'resorts', 'beaches', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'dance-clubs', 'swimming-pools', 'gyms', 'bakeries', 'cafes', 'view-points', 'monuments', 'gardens']",[]
1520,"['zoo', 'restaurants', 'art-galleries']",[],"['parks', 'theatres', 'museums', 'malls', 'juice-bars']",['beauty-spas'],"['churches', 'resorts', 'beaches', 'pubs-bars', 'burger-pizza', 'hotels-lodgings', 'dance-clubs', 'swimming-pools', 'gyms', 'bakeries', 'cafes', 'view-points', 'monuments', 'gardens']",[]
1521,"['zoo', 'restaurants', 'pubs-bars', 'hotels-lodgings', 'juice-bars', 'art-galleries']",[],"['parks', 'theatres', 'museums', 'malls']",[],"['churches', 'resorts', 'beaches', 'burger-pizza', 'dance-clubs', 'swimming-pools', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'view-points', 'monuments', 'gardens']",[]
1522,"['restaurants', 'pubs-bars', 'art-galleries']",['zoo'],"['parks', 'theatres', 'museums', 'malls']",['beaches'],"['churches', 'resorts', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'dance-clubs', 'swimming-pools', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'view-points', 'monuments', 'gardens']",[]
1523,"['resorts', 'restaurants', 'pubs-bars', 'juice-bars', 'art-galleries']",[],"['beaches', 'parks', 'theatres', 'museums', 'malls', 'zoo']",[],"['churches', 'burger-pizza', 'hotels-lodgings', 'dance-clubs', 'swimming-pools', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'view-points', 'monuments', 'gardens']",[]
1524,"['beaches', 'restaurants', 'pubs-bars', 'juice-bars', 'art-galleries']",[],"['theatres', 'museums', 'malls', 'zoo']",['resorts'],"['churches', 'parks', 'burger-pizza', 'hotels-lodgings', 'dance-clubs', 'swimming-pools', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'view-points', 'monuments', 'gardens']",[]
1525,"['zoo', 'restaurants', 'pubs-bars', 'juice-bars']",[],"['theatres', 'museums', 'malls']",[],"['churches', 'resorts', 'beaches', 'parks', 'burger-pizza', 'hotels-lodgings', 'art-galleries', 'dance-clubs', 'swimming-pools', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'view-points', 'monuments', 'gardens']",[]
1526,"['restaurants', 'pubs-bars', 'juice-bars', 'art-galleries']",[],"['theatres', 'museums', 'malls', 'zoo']",['view-points'],"['churches', 'resorts', 'beaches', 'parks', 'burger-pizza', 'hotels-lodgings', 'dance-clubs', 'swimming-pools', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'monuments', 'gardens']",[]
1527,"['restaurants', 'pubs-bars', 'dance-clubs']",[],"['theatres', 'museums', 'malls', 'zoo']",['view-points'],"['churches', 'resorts', 'beaches', 'parks', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries', 'swimming-pools', 'gyms', 'beauty-spas', 'cafes', 'monuments', 'gardens']",['bakeries']
1528,"['restaurants', 'pubs-bars', 'dance-clubs']",[],"['theatres', 'museums', 'malls', 'zoo', 'art-galleries']",[],"['churches', 'resorts', 'beaches', 'parks', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'swimming-pools', 'gyms', 'beauty-spas', 'cafes', 'view-points', 'monuments', 'gardens']",['bakeries']
1529,"['restaurants', 'pubs-bars', 'art-galleries', 'dance-clubs']",[],"['theatres', 'museums', 'malls', 'zoo']",[],"['churches', 'resorts', 'beaches', 'parks', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'swimming-pools', 'gyms', 'beauty-spas', 'cafes', 'view-points', 'monuments', 'gardens']",['bakeries']
1530,"['zoo', 'restaurants', 'pubs-bars', 'art-galleries', 'dance-clubs']",[],"['theatres', 'museums', 'malls']",['cafes'],"['churches', 'resorts', 'beaches', 'parks', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'swimming-pools', 'view-points', 'monuments', 'gardens']","['gyms', 'bakeries', 'beauty-spas']"
1531,"['zoo', 'restaurants', 'pubs-bars', 'dance-clubs']",[],"['theatres', 'museums', 'malls']",['cafes'],"['churches', 'resorts', 'beaches', 'parks', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries', 'swimming-pools', 'view-points', 'monuments', 'gardens']","['gyms', 'bakeries', 'beauty-spas']"
1532,"['zoo', 'restaurants', 'pubs-bars', 'dance-clubs']",[],"['theatres', 'museums', 'malls', 'art-galleries']",['parks'],"['churches', 'resorts', 'beaches', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'swimming-pools', 'cafes', 'view-points', 'monuments', 'gardens']","['gyms', 'bakeries', 'beauty-spas']"
1533,"['parks', 'restaurants', 'pubs-bars', 'art-galleries']",[],"['malls', 'zoo']",['beaches'],"['churches', 'resorts', 'theatres', 'museums', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'dance-clubs', 'swimming-pools', 'cafes', 'view-points', 'monuments', 'gardens']","['gyms', 'bakeries', 'beauty-spas']"
1534,"['parks', 'restaurants', 'pubs-bars', 'art-galleries']",[],"['museums', 'malls', 'zoo']",[],"['churches', 'resorts', 'beaches', 'theatres', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'dance-clubs', 'swimming-pools', 'cafes', 'view-points', 'monuments', 'gardens']","['gyms', 'bakeries', 'beauty-spas']"
1535,"['parks', 'restaurants', 'pubs-bars', 'burger-pizza', 'art-galleries']",[],"['theatres', 'museums', 'malls', 'zoo']",[],"['churches', 'resorts', 'beaches', 'hotels-lodgings', 'juice-bars', 'dance-clubs', 'swimming-pools', 'view-points', 'monuments', 'gardens']","['gyms', 'bakeries', 'beauty-spas', 'cafes']"
1536,"['parks', 'restaurants', 'pubs-bars', 'hotels-lodgings', 'gyms', 'view-points']",[],"['museums', 'malls', 'zoo']",[],"['churches', 'resorts', 'beaches', 'theatres', 'burger-pizza', 'juice-bars', 'art-galleries', 'dance-clubs', 'swimming-pools', 'monuments', 'gardens']","['bakeries', 'beauty-spas', 'cafes']"
1537,"['restaurants', 'pubs-bars', 'view-points']",[],"['museums', 'malls', 'zoo']",[],"['churches', 'resorts', 'beaches', 'parks', 'theatres', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries', 'dance-clubs', 'swimming-pools', 'monuments', 'gardens']","['gyms', 'bakeries', 'beauty-spas', 'cafes']"
1538,"['restaurants', 'pubs-bars', 'swimming-pools']",[],"['museums', 'malls', 'zoo']",[],"['churches', 'resorts', 'beaches', 'parks', 'theatres', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries', 'dance-clubs', 'view-points', 'monuments', 'gardens']","['gyms', 'bakeries', 'beauty-spas', 'cafes']"
1539,"['restaurants', 'pubs-bars', 'burger-pizza', 'swimming-pools']",[],"['museums', 'malls', 'zoo']",['view-points'],"['churches', 'resorts', 'beaches', 'parks', 'theatres', 'hotels-lodgings', 'juice-bars', 'art-galleries', 'dance-clubs', 'gyms', 'monuments', 'gardens']","['bakeries', 'beauty-spas', 'cafes']"
1540,"['restaurants', 'pubs-bars', 'swimming-pools']",[],"['museums', 'malls', 'zoo', 'dance-clubs']",['parks'],"['churches', 'resorts', 'beaches', 'theatres', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries', 'gyms', 'view-points', 'monuments', 'gardens']","['bakeries', 'beauty-spas', 'cafes']"
1541,"['restaurants', 'pubs-bars', 'burger-pizza', 'art-galleries', 'dance-clubs', 'swimming-pools']",[],"['museums', 'malls', 'zoo', 'view-points']",['parks'],"['churches', 'resorts', 'beaches', 'theatres', 'hotels-lodgings', 'juice-bars', 'gyms', 'monuments', 'gardens']","['bakeries', 'beauty-spas', 'cafes']"
1542,"['restaurants', 'pubs-bars', 'hotels-lodgings', 'dance-clubs', 'swimming-pools']",[],"['malls', 'zoo', 'view-points']",['parks'],"['churches', 'resorts', 'beaches', 'theatres', 'museums', 'burger-pizza', 'juice-bars', 'art-galleries', 'gyms', 'monuments', 'gardens']","['bakeries', 'beauty-spas', 'cafes']"
1543,"['pubs-bars', 'burger-pizza', 'hotels-lodgings', 'dance-clubs', 'swimming-pools']",[],"['theatres', 'malls', 'zoo', 'restaurants']",[],"['churches', 'resorts', 'beaches', 'parks', 'museums', 'juice-bars', 'art-galleries', 'gyms', 'monuments', 'gardens']","['bakeries', 'beauty-spas', 'cafes', 'view-points']"
1544,"['theatres', 'pubs-bars', 'burger-pizza', 'hotels-lodgings']",[],"['malls', 'zoo', 'restaurants']",[],"['churches', 'resorts', 'beaches', 'parks', 'museums', 'juice-bars', 'art-galleries', 'dance-clubs', 'swimming-pools', 'gyms', 'monuments', 'gardens']","['bakeries', 'beauty-spas', 'cafes', 'view-points']"
1545,"['theatres', 'pubs-bars', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'bakeries']",[],"['malls', 'zoo', 'restaurants']",[],"['churches', 'resorts', 'beaches', 'parks', 'museums', 'art-galleries', 'dance-clubs', 'swimming-pools', 'gyms', 'monuments', 'gardens']","['beauty-spas', 'cafes', 'view-points']"
1546,"['pubs-bars', 'burger-pizza', 'gyms']",[],"['malls', 'zoo', 'restaurants']",[],"['churches', 'resorts', 'beaches', 'parks', 'theatres', 'museums', 'hotels-lodgings', 'juice-bars', 'art-galleries', 'dance-clubs', 'swimming-pools', 'gardens']","['bakeries', 'beauty-spas', 'cafes', 'view-points', 'monuments']"
1547,"['pubs-bars', 'burger-pizza', 'gyms']",[],"['malls', 'zoo', 'restaurants']",[],"['churches', 'resorts', 'beaches', 'parks', 'theatres', 'museums', 'hotels-lodgings', 'juice-bars', 'art-galleries', 'dance-clubs', 'swimming-pools', 'gardens']","['bakeries', 'beauty-spas', 'cafes', 'view-points', 'monuments']"
1548,"['burger-pizza', 'hotels-lodgings', 'gyms']",[],"['malls', 'zoo', 'restaurants', 'pubs-bars']",['swimming-pools'],"['churches', 'resorts', 'beaches', 'parks', 'theatres', 'museums', 'juice-bars', 'art-galleries', 'dance-clubs', 'gardens']","['bakeries', 'beauty-spas', 'cafes', 'view-points', 'monuments']"
1549,"['burger-pizza', 'hotels-lodgings', 'juice-bars', 'gyms']",[],"['malls', 'zoo', 'restaurants', 'pubs-bars']",['swimming-pools'],"['churches', 'resorts', 'beaches', 'parks', 'theatres', 'museums', 'art-galleries', 'dance-clubs', 'bakeries', 'gardens']","['beauty-spas', 'cafes', 'view-points', 'monuments']"
1550,"['burger-pizza', 'hotels-lodgings', 'juice-bars', 'gyms']",[],"['malls', 'zoo', 'restaurants', 'pubs-bars']","['theatres', 'swimming-pools']","['churches', 'resorts', 'beaches', 'parks', 'museums', 'art-galleries', 'dance-clubs', 'bakeries', 'monuments', 'gardens']","['beauty-spas', 'cafes', 'view-points']"
1551,"['burger-pizza', 'hotels-lodgings', 'juice-bars', 'swimming-pools']",[],"['zoo', 'restaurants', 'pubs-bars']","['theatres', 'malls']","['churches', 'resorts', 'beaches', 'parks', 'museums', 'art-galleries', 'dance-clubs', 'gyms', 'gardens']","['bakeries', 'beauty-spas', 'cafes', 'view-points', 'monuments']"
1552,"['museums', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'bakeries']",[],"['malls', 'zoo', 'restaurants', 'pubs-bars']",[],"['churches', 'resorts', 'beaches', 'parks', 'theatres', 'art-galleries', 'dance-clubs', 'swimming-pools', 'gyms', 'gardens']","['beauty-spas', 'cafes', 'view-points', 'monuments']"
1553,"['burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries', 'bakeries']",[],"['zoo', 'restaurants', 'pubs-bars']",[],"['churches', 'resorts', 'beaches', 'parks', 'theatres', 'museums', 'malls', 'dance-clubs', 'swimming-pools', 'gyms', 'beauty-spas', 'gardens']","['cafes', 'view-points', 'monuments']"
1554,"['burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries', 'bakeries']",[],"['zoo', 'restaurants', 'pubs-bars']",[],"['churches', 'resorts', 'beaches', 'parks', 'theatres', 'museums', 'malls', 'dance-clubs', 'swimming-pools', 'gyms', 'beauty-spas', 'gardens']","['cafes', 'view-points', 'monuments']"
1555,"['burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries', 'bakeries']",[],"['zoo', 'restaurants', 'pubs-bars']",['gardens'],"['churches', 'resorts', 'beaches', 'parks', 'theatres', 'museums', 'malls', 'dance-clubs', 'swimming-pools', 'gyms']","['beauty-spas', 'cafes', 'view-points', 'monuments']"
1556,"['burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries', 'bakeries']",[],"['zoo', 'restaurants', 'pubs-bars']",[],"['churches', 'resorts', 'beaches', 'parks', 'theatres', 'museums', 'malls', 'dance-clubs', 'swimming-pools', 'gyms', 'gardens']","['beauty-spas', 'cafes', 'view-points', 'monuments']"
1557,"['burger-pizza', 'hotels-lodgings', 'juice-bars', 'bakeries']",[],"['zoo', 'restaurants', 'pubs-bars']",[],"['churches', 'resorts', 'beaches', 'parks', 'theatres', 'museums', 'malls', 'art-galleries', 'dance-clubs', 'swimming-pools', 'gyms', 'beauty-spas', 'gardens']","['cafes', 'view-points', 'monuments']"
1558,"['burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries', 'bakeries']",[],"['zoo', 'restaurants', 'pubs-bars']",['museums'],"['churches', 'resorts', 'beaches', 'parks', 'theatres', 'malls', 'dance-clubs', 'swimming-pools', 'gyms', 'beauty-spas', 'gardens']","['cafes', 'view-points', 'monuments']"
1559,"['burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries', 'bakeries']",[],"['zoo', 'restaurants', 'pubs-bars']",[],"['churches', 'resorts', 'beaches', 'parks', 'theatres', 'museums', 'malls', 'dance-clubs', 'swimming-pools', 'gyms', 'beauty-spas', 'gardens']","['cafes', 'view-points', 'monuments']"
1560,"['burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries', 'bakeries']",[],"['zoo', 'restaurants', 'pubs-bars']",[],"['churches', 'resorts', 'beaches', 'parks', 'theatres', 'museums', 'malls', 'dance-clubs', 'swimming-pools', 'gyms', 'beauty-spas', 'gardens']","['cafes', 'view-points', 'monuments']"
1561,"['burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries', 'bakeries']",[],"['zoo', 'restaurants', 'pubs-bars']",[],"['churches', 'resorts', 'beaches', 'parks', 'theatres', 'museums', 'malls', 'dance-clubs', 'swimming-pools', 'gyms', 'beauty-spas', 'gardens']","['cafes', 'view-points', 'monuments']"
1562,"['burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries', 'bakeries']",[],"['zoo', 'restaurants', 'pubs-bars']",[],"['churches', 'resorts', 'beaches', 'parks', 'theatres', 'museums', 'malls', 'dance-clubs', 'swimming-pools', 'gyms', 'gardens']","['beauty-spas', 'cafes', 'view-points', 'monuments']"
1563,"['burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries', 'bakeries']",[],"['zoo', 'restaurants', 'pubs-bars']",[],"['churches', 'resorts', 'beaches', 'parks', 'theatres', 'museums', 'malls', 'dance-clubs', 'swimming-pools', 'gyms', 'beauty-spas', 'gardens']","['cafes', 'view-points', 'monuments']"
1564,"['burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries', 'bakeries']",[],"['zoo', 'restaurants', 'pubs-bars']",[],"['churches', 'resorts', 'beaches', 'parks', 'theatres', 'museums', 'malls', 'dance-clubs', 'swimming-pools', 'gyms', 'beauty-spas', 'gardens']","['cafes', 'view-points', 'monuments']"
1565,"['burger-pizza', 'hotels-lodgings', 'juice-bars', 'bakeries']",[],"['zoo', 'restaurants', 'pubs-bars']",[],"['churches', 'resorts', 'beaches', 'parks', 'theatres', 'museums', 'malls', 'art-galleries', 'dance-clubs', 'swimming-pools', 'gyms', 'beauty-spas', 'gardens']","['cafes', 'view-points', 'monuments']"
1566,"['burger-pizza', 'hotels-lodgings', 'juice-bars', 'bakeries', 'gardens']",[],"['zoo', 'restaurants', 'pubs-bars']",['resorts'],"['churches', 'beaches', 'parks', 'theatres', 'museums', 'malls', 'art-galleries', 'dance-clubs', 'swimming-pools', 'gyms', 'beauty-spas']","['cafes', 'view-points', 'monuments']"
1567,"['burger-pizza', 'hotels-lodgings', 'juice-bars', 'bakeries']",[],"['zoo', 'restaurants', 'pubs-bars']",['resorts'],"['churches', 'beaches', 'parks', 'theatres', 'museums', 'malls', 'art-galleries', 'dance-clubs', 'swimming-pools', 'gyms', 'beauty-spas', 'cafes', 'monuments', 'gardens']",['view-points']
1568,"['burger-pizza', 'hotels-lodgings', 'juice-bars', 'bakeries']",[],"['zoo', 'restaurants', 'pubs-bars']",['resorts'],"['churches', 'beaches', 'parks', 'theatres', 'museums', 'malls', 'art-galleries', 'dance-clubs', 'swimming-pools', 'gyms', 'beauty-spas', 'cafes', 'view-points', 'monuments', 'gardens']",[]
1569,"['burger-pizza', 'hotels-lodgings', 'juice-bars']",[],"['zoo', 'restaurants', 'pubs-bars']","['resorts', 'malls', 'gardens']","['churches', 'beaches', 'parks', 'theatres', 'museums', 'art-galleries', 'dance-clubs', 'swimming-pools', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'view-points', 'monuments']",[]
1570,"['burger-pizza', 'hotels-lodgings', 'juice-bars']",[],"['zoo', 'restaurants', 'pubs-bars']","['resorts', 'malls', 'gardens']","['churches', 'beaches', 'parks', 'theatres', 'museums', 'art-galleries', 'dance-clubs', 'swimming-pools', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'view-points', 'monuments']",[]
1571,"['hotels-lodgings', 'juice-bars', 'beauty-spas']",['burger-pizza'],"['zoo', 'restaurants', 'pubs-bars']",['malls'],"['churches', 'resorts', 'beaches', 'parks', 'theatres', 'museums', 'art-galleries', 'dance-clubs', 'swimming-pools', 'gyms', 'bakeries', 'cafes', 'view-points', 'monuments', 'gardens']",[]
1572,"['hotels-lodgings', 'juice-bars', 'beauty-spas']",['burger-pizza'],"['zoo', 'restaurants', 'pubs-bars']",['malls'],"['churches', 'resorts', 'beaches', 'parks', 'theatres', 'museums', 'art-galleries', 'dance-clubs', 'swimming-pools', 'gyms', 'bakeries', 'cafes', 'view-points', 'monuments', 'gardens']",[]
